vendor_name,vendor_domain,vendor_proven_url,vendor_logo,vendor_lat,vendor_lng,client_name,client_domain,client_logo,client_lat,client_lng
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Arnotts,arnotts.ie,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Barker Stonehouse,Barker Stonehouse,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,David Philips,David Philips,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Dwell,dwell.com,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Endner-Wohnideen,endner-wohnideen.de,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,EZ Living Interiors,ezliving-interiors.ie,https://logo.clearbit.com/ezliving-interiors.ie,51.8985143,-8.4756035
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Fishpools,fishpools.co.uk,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Harveynorman,harveynorman.com.au,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Idc,idc.by,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Immo Staging,Immo Staging,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Koesters-Wohnkultur,koesters-wohnkultur.de,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Mcelhinneys,mcelhinneys.com,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Murf,murf.com,,,
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,,,,Theorchard,theorchard.com,,,
