ID,NAME,DOMAIN,SERVICES,ABOUT,WHY WORK WITH US,BROCHURE,ADDRESS,STAFF,STAFF INVITES PENDING,CLIENTS,INDUSTRIES,PRIMARY SERVICE,COMPLETENESS PERCENT,CREATED ON,LAST UPDATED ON,LANGUAGES USED,HIDDEN (INACTIVE),LAST HIDDEN ON,LAST VISIBLE ON,ONLY VISIBLE TO WL
2790,RENAISSANCE ENGINEERING INTERNATIONAL LIMITED,renaissanceengineering.ie,,"Renaissance Engineering, established in October 2012, provide technical, mechanical and electrical, expertise in delivering a comprehensive and coordinated approach to the design, planning, construction, delivery, and ongoing maintenance of buildings to the Residential, Commercial, Retail, Healthcare and Biopharmaceutical industries. Renaissance Engineering is composed of an expanding workforce of highly qualified, technically gifted engineers with an abundance of experience in the industry and knowledge of current regulations and available technologies. Renaissance Engineering aims to meet the complete range of your construction needs, including new construction, renovation and expansion, technology and infrastructure upgrades and sustainable initiatives. Renaissance Engineering provides professional services directly and also lead design teams in creating innovative solutions with an emphasis on focused service delivery. Our mission is to produce innovative, sustainable, low energy, cost effective engineering solutions that are specifically tailored to the individual requirements of each building. We aim to work as your partners to maximize the efficiency of your space, streamline budgets and help you make prudent decisions for your needs.",,,,,,,,,0,12/12/2023 17:32,,,no,-,12/12/2023 17:32,no
1980,ATLAS LANGUAGE INSTITUTE LIMITED,atlaslanguageschool.com,,"Atlas Language School was established in Dublin in 2003 and has grown from a one room school to one of the largest language teaching organisations in Ireland. Each year we teach students across a range of courses and programmes, including Exam Preparation, Executive English, Teacher Training, Work Placements, High School Placement and Group Programmes. In addition we run our highly regarded Atlas Junior programmes in Ireland and the UK. We feel this rapid growth is a testament to the excellence of our programmes, the dedication of our staff and our commitment to providing an extremely high level of quality to each of our students for every aspect of their stay with us.",,,,,,,,,0,05/12/2023 10:30,,,no,-,05/12/2023 10:30,no
2038,B NEVIN CONTRACTING LTD,nevin.ie,,"Over the last 21 years, Nevin Construction has built a reputation as a building contractor that drives for greater value. From exceptional standards of quality and safety, we are passionate about helping our clients achieve their strategic goals on every project. We embrace the challenges inherent across a wide range of complex public and private sector building projects. We engage our expertise and agility to deliver lasting, meaningful structures that bring value to our client. Our highly professional and motivated team has extensive and diverse experience both nationally and internationally, which means that our clients not only can rest assured of the quality and value for money we deliver, but also can look to us for innovative solutions to project issues. We recognise that our clients face many challenges in the development of their projects, but we ensure that for our part, these are negligible, as through our innovation and flexibility we assist our clients in achieving their project objectives. We understand that each project is intrinsically different and we devote ourselves to the delivery of each and every project to the utmost standards of excellence, with our client requirements utmost in our mind.",,,,,,,,,0,05/12/2023 10:35,,,no,-,05/12/2023 10:35,no
131,CitySwifter,cityswifter.com,"Travel & Hospitality,Travel Tech","CitySwifter is a company that provides urban bus network optimization services, powered by passenger data and analytics.CitySwifter is a data-driven scheduling technology for urban bus networks. It uses artificial intelligence and machine learning to accurately predict journey times and passenger demand, making routes more efficient.For urban bus networks that want to improve service quality and reduce costs, CitySwifter is a data-driven scheduling technology that makes routes more efficient. The CitySwifter platform uses AI and machine learning to accurately predict journey times and passenger demand, creating optimised timetables that take into account traffic, events and hundreds of other external factors, ensuring on-time performance and increased passenger satisfaction. Customisable management dashboards deliver business intelligence and enable tracking of KPIs. Improve the efficiency of your network and ensure every bus is where your customers expect it to be, with data-driven bus scheduling by CitySwifter.","For urban bus networks that want to improve service quality and reduce costs, CitySwifter is a data-driven scheduling technology that makes routes more efficient. CitySwifter is the only scheduling platform that uses artificial intelligence and machine learning to accurately predict journey times and passenger demand, creating optimised timetables that ensure on-time performance and increased passenger satisfaction.",,,,,,,Travel Tech,12,26/09/2023 17:53,,,no,-,26/09/2023 17:53,no
796,DOUGLAS ELECTRONICS SYSTEMS LTD,douglas-esl.ie,,"Douglas Control &amp. Automation is an Irish company that delivers automation, information technology / MES and safety solutions to the manufacturing and utilities sectors.",,,,,,,,,0,08/11/2023 17:16,,,no,-,08/11/2023 17:16,no
3007,DUGGAN VETERINARY SUPPLIES LIMITED,dugganvet.ie,,"Duggan Vet Group is a leading provider of animal health solutions in Ireland and the UK. They specialize in veterinary pharmaceuticals and instrumentation, supplying animal health products exclusively to the veterinary industry since the 1980s. They al...",,,,,,,,,0,11/01/2024 11:28,,,no,-,11/01/2024 11:28,no
1296,PAT RYNN ENGINEERING LTD,rynneng.ie,,"As one of Ireland's largest general engineering workshops, we provide Structural, Mechanical, Precision &amp. General engineering services for the Oil/Gas, Marine, Industrial, Health, Construction &amp. Agricultural sectors.",,,,,,,,,0,23/11/2023 17:51,,,no,-,23/11/2023 17:51,no
1881,WALSH PRINTING SERVICES UNLIMITED COMPANY,walshcolourprint.com,,"Walsh Colour Print is a publishing company based out of Tralee Rd, Moanmore, Co. Kerry, Ireland, Ireland.",,,,,,,,,0,29/11/2023 11:45,,,no,-,29/11/2023 11:45,no
3966,Gavin & Doherty Geosolutions,gdgeo.com,"Energy,Offshore Wind","GDG Engineering Innovation provides expert engineering solutions for offshore wind, marine, and infrastructure projects, focusing on sustainability and innovation.",,,,,,,,Offshore Wind,12,16/09/2024 11:54,,,no,-,16/09/2024 11:54,no
339,EAGLEALPHA LTD,eaglealpha.com,"Financial Services,Fintech",Eagle Alpha was established in 2012 to provide the buyside with alternative data solutions. Eagle Alpha provides a full service solution that enables asset managers to obtain alpha from alternative data.,,,,,,,,Fintech,12,28/09/2023 03:27,,,no,-,28/09/2023 03:27,no
