Vendor Name,Vendor Domain,Vendor Proven URL,Vendor clients domains
Abbeylands Furniture (Navan) Ltd,scatterbox.ie,https://directory.enterprise-ireland.com/vendor/abbeylands-furniture-ltd-ta-scatter-box,"arnotts.ie,Barker Stonehouse,David Philips,dwell.com,endner-wohnideen.de,ezliving-interiors.ie,fishpools.co.uk,harveynorman.com.au,idc.by,Immo Staging,koesters-wohnkultur.de,mcelhinneys.com,murf.com,theorchard.com"
AIRTEL ATN LTD,airtel-atn.com,https://directory.enterprise-ireland.com/vendor/airtel-atn-ltd,"airbus.com,AirNav Ireland,boeing.com,hsmarston.co.uk,ENAV Spa,eurocontrol.int,European Space Agency ESA,frequentis.com,honeywell.com,indracompany.com,nasa.gov,nav.pt"
AMCS Group,amcsgroup.com,https://directory.enterprise-ireland.com/vendor/amcs-group,"ferrovial.com,recology.com,remondisdanmark.dk,renewi.com,republicservices.com,suez.com,veolia.com,wm.com"
APPAREL SUPPLY LIMITED,apparelsupply.ie,https://directory.enterprise-ireland.com/vendor/consumer-products/apparel-supply-limited,eirgrid.ie
Atlantic Aviation Group,atlanticaviation.ie,https://directory.enterprise-ireland.com/vendor/aerospace-aviation/atlantic-aviation-group,"aercap.com,aergo.io,aslairlines.ie,avolon.aero,bank-locations.com,dhl.com,gecas.com,Maersk,ryanair.com,seraphdesign.com,tui.at"
BUSHY PARK IRONWORKS LTD,bushyparkironworks.com,https://directory.enterprise-ireland.com/vendor/bushy-park-ironworks-ltd,"Government Departments,Nearly all the Main Building Contractors In Ireland,Private Clients and Collectors"
HANDY BABY PRODUCTS LTD,clevamama.com,https://directory.enterprise-ireland.com/vendor/handy-baby-products-ltd,"aldi.com.au,alshaya.com,amazon.com,arnotts.ie,babybunting.com.au,boots.com,brendon.eu,firstcry.com,jojomamanbebe.co.uk,lidl.de,mamasandpapas.com,mothercare.com.kw,smythstoys.com"
CONNABRIDE PLASTICS LTD,connabride.nl,https://directory.enterprise-ireland.com/vendor/connabride-plastics-ltd,"asdatyres.co.uk,Auchan International,blokker.nl,timbershow.com,Intermarche France,Tesco UK"
DUBARRY SHOES LIMITED,dubarry.com,https://directory.enterprise-ireland.com/vendor/dubarry-shoes-limited,Dubarry of Ireland
Edgescan,edgescan.com,https://directory.enterprise-ireland.com/vendor/cybersecurity/bcc-risk-advisory-ltd,bloomberg.com
